Unnamed: 0,COMPANY,SCOPE,LOCATION,ADDRESS & CONTACT DETAILS,CERTIFICATE VALIDITY
1.0,19 London Ltd - trading as 19 Yacht Crew,Offshore Professionals,London,"48 Charlotte Street, London, W1T 2NS",23 August 2027
2.0,Ably Resources Ltd,Offshore Professionals,Glasgow,"4th Floor, 105 George Street, Glasgow, G2 1PB",16 February 2027
3.0,Advance Global Recruitment,All Disciplines,Edinburgh,"Unit 16, Beaverbank Business Park EH7 4HG",30 November 2025
4.0,Advanced Resource Managers,All Disciplines,Portsmouth,"Shore House, North Harbour Business Park, Compass Road, Portsmouth, PO6 4PR",23 May 2023
5.0,Air Resources,All Disciplines,Manchester,"4th Floor Delphian House, Riverside, New Bailey Street, M3 5FS",04 June 2024
6.0,Alis Global Ltd,All Disciplines,Colchester,"24 Cleveland Close, Colchester, Essex, CO4 9RS",05 November 2026
7.0,Aramark Limited,All Disciplines,Aberdeen,"7B International Drive, ABZ Business Park, Dyce Drive, Dyce, AB21 0BH",08 July 2027
8.0,Archer Resourcing,All Disciplines,Fareham,"Arena Business Centre, 8 Barnes Wallis Road, Fareham, PO15 5TU",01 June 2023
9.0,Belinda King Creative Productions Ltd,Onboard Service,Northampton,"157 Clarence Avenue, Kingsthorpe, NN2 6NY",10 July 2027
10.0,Bespoke Crew Limited,All Disciplines,New Milton,"The Old Bakery, Tiptoe Road, BH25 5SJ",08 December 2025
11.0,C Power Energy Ltd,All Disciplines,Colchester,"Unit 23C London Road, Stanway, Colchester, CO3 8PH",06 April 2027
12.0,Cara Lees Yacht Crew Ltd,All Disciplines,Edinburgh,"1 Abinger Gardens, Edinburgh, EH12 6DE",21 April 2026
13.0,Carnival UK ,All Disciplines,Southampton,"100 Harbour Parade, SO15 1ST",17 July 2023
14.0,CB Media Group Ltd (Yotspot),All Disciplines,Southampton,"The OVIC, Ocean Village, SO14 3JZ",17 July 2024
15.0,Celox Yachting Ltd,All Disciplines,Bromley,"28 Beadon Road, Bromley, Kent, BR2 9AT",13 October 2026
16.0,Clan Partners Ltd (incorporating Global Resource Management Ltd),All Disciplines,Aberdeen,"Marine House, 5B International Avenue, ABZ Business Park, Dyce, AB21 7GQ",30 April 2024
17.0,Clyde Marine Recruitment,All Disciplines,Glasgow,"Mariner House, Watermark Business Park, 355 Govan Road, G51 2SE",20 October 2023
18.0,CP Marine UK Ltd,All Disciplines,Kingston upon Hull,"PO Box 314, HU10 7WG",02 July 2023
19.0,Crew and Concierge Ltd,All Disciplines,Bristol,"Part Ground Floor, Wessex House, Pixash Lane, Keynsham, BS31 1TP",19 August 2024
20.0,Crew Board Limited,All Disciplines,Salford,"82 The Greenhouse, Mediacityuk, M50 2EQ",14 January 2025
21.0,Crewing Services (Aberdeen) Ltd,All Disciplines,Aberdeen,"12 Queens Road, AB15 4ZT",27 January 2024
22.0,Crown Crewing (UK) Ltd ,All Disciplines,Kingston upon Hull,"Crown Dry Dock, Tower Street, HU9 1TY",02 July 2023
23.0,Cruise Academy,All Disciplines,Lancashire,"Fern Court Business Centre, Castlegate, Clitheroe, Lancashire, BB7 1AZ",12 February 2028
24.0,De Montfort Fine Art,Onboard Service,Staffordshire,"De Montfort House, Europa Way, Lichfield, Staffordshire, WS14 9NW",23 March 2027
25.0,Deeside Crewing Services Ltd,All Disciplines,Aberdeen,"4th Floor, Regent Centre, Regent Road, AB11 5NS",29 July 2023
26.0,DFDS Seaways BV,All Disciplines,Whitfield,"Unit 15-21, White Cliffs Business Park CT16 3PX",30 July 2023
