,Person ID,First name,Last name,Party,Constituency,URI
0,10001,Diane,Abbott,Labour,Hackney North and Stoke Newington,https://www.theyworkforyou.com/mp/10001/diane_abbott/hackney_north_and_stoke_newington
1,25034,Debbie,Abrahams,Labour,Oldham East and Saddleworth,https://www.theyworkforyou.com/mp/25034/debbie_abrahams/oldham_east_and_saddleworth
2,24878,Nigel,Adams,Conservative,Selby and Ainsty,https://www.theyworkforyou.com/mp/24878/nigel_adams/selby_and_ainsty
3,25661,Bim,Afolami,Conservative,Hitchin and Harpenden,https://www.theyworkforyou.com/mp/25661/bim_afolami/hitchin_and_harpenden
4,11929,Adam,Afriyie,Conservative,Windsor,https://www.theyworkforyou.com/mp/11929/adam_afriyie/windsor
5,25817,Nickie,Aiken,Conservative,Cities of London and Westminster,https://www.theyworkforyou.com/mp/25817/nickie_aiken/cities_of_london_and_westminster
6,24904,Peter,Aldous,Conservative,Waveney,https://www.theyworkforyou.com/mp/24904/peter_aldous/waveney
7,24958,Rushanara,Ali,Labour,Bethnal Green and Bow,https://www.theyworkforyou.com/mp/24958/rushanara_ali/bethnal_green_and_bow
8,25888,Tahir,Ali,Labour,"Birmingham, Hall Green",https://www.theyworkforyou.com/mp/25888/tahir_ali/birmingham%2C_hall_green
9,25337,Lucy,Allan,Conservative,Telford,https://www.theyworkforyou.com/mp/25337/lucy_allan/telford
10,25579,Rosena,Allin-Khan,Labour,Tooting,https://www.theyworkforyou.com/mp/25579/rosena_allin-khan/tooting
11,25702,Mike,Amesbury,Labour,Weaver Vale,https://www.theyworkforyou.com/mp/25702/mike_amesbury/weaver_vale
12,25813,Fleur,Anderson,Labour,Putney,https://www.theyworkforyou.com/mp/25813/fleur_anderson/putney
13,25894,Lee,Anderson,Conservative,Ashfield,https://www.theyworkforyou.com/mp/25894/lee_anderson/ashfield
14,25818,Stuart,Anderson,Conservative,Wolverhampton South West,https://www.theyworkforyou.com/mp/25818/stuart_anderson/wolverhampton_south_west
15,24864,Stuart,Andrew,Conservative,Pudsey,https://www.theyworkforyou.com/mp/24864/stuart_andrew/pudsey
16,25335,Caroline,Ansell,Conservative,Eastbourne,https://www.theyworkforyou.com/mp/25335/caroline_ansell/eastbourne
17,25634,Tonia,Antoniazzi,Labour,Gower,https://www.theyworkforyou.com/mp/25634/tonia_antoniazzi/gower
18,25396,Edward,Argar,Conservative,Charnwood,https://www.theyworkforyou.com/mp/25396/edward_argar/charnwood
19,25120,Jon,Ashworth,Labour,Leicester South,https://www.theyworkforyou.com/mp/25120/jon_ashworth/leicester_south
20,25810,Sarah,Atherton,Conservative,Wrexham,https://www.theyworkforyou.com/mp/25810/sarah_atherton/wrexham
21,25424,Victoria,Atkins,Conservative,Louth and Horncastle,https://www.theyworkforyou.com/mp/25424/victoria_atkins/louth_and_horncastle
22,25750,Gareth,Bacon,Conservative,Orpington,https://www.theyworkforyou.com/mp/25750/gareth_bacon/orpington
23,10707,Richard,Bacon,Conservative,South Norfolk,https://www.theyworkforyou.com/mp/10707/richard_bacon/south_norfolk
24,25693,Kemi,Badenoch,Conservative,Saffron Walden,https://www.theyworkforyou.com/mp/25693/kemi_badenoch/saffron_walden
25,25814,Shaun,Bailey,Conservative,West Bromwich West,https://www.theyworkforyou.com/mp/25814/shaun_bailey/west_bromwich_west
26,25838,Siobhan,Baillie,Conservative,Stroud,https://www.theyworkforyou.com/mp/25838/siobhan_baillie/stroud
