Constituency,First name,Last name,Flink
Hackney North and Stoke Newington,Diane,Abbott,https://facebook.com/Dianeabbott
Oldham East and Saddleworth,Debbie,Abrahams,
Selby and Ainsty,Nigel,Adams,https://facebook.com/nigel.adamsmp
Hitchin and Harpenden,Bim,Afolami,
Windsor,Adam,Afriyie,https://facebook.com/adamafriyieofficial
Cities of London and Westminster,Nickie,Aiken,
Waveney,Peter,Aldous,https://facebook.com/peteraldouswaveney
Bethnal Green and Bow,Rushanara,Ali,https://facebook.com/Rushanara-Ali-37684209618
"Birmingham, Hall Green",Tahir,Ali,
Telford,Lucy,Allan,https://facebook.com/LucyAllanForTelford
Tooting,Rosena,Allin-Khan,https://facebook.com/DrRosena
Weaver Vale,Mike,Amesbury,
Putney,Fleur,Anderson,
Ashfield,Lee,Anderson,
Wolverhampton South West,Stuart,Anderson,
Pudsey,Stuart,Andrew,https://facebook.com/StuartAndrewPudsey
Eastbourne,Caroline,Ansell,https://facebook.com/CarolineAnsellEastbourne
Gower,Tonia,Antoniazzi,https://facebook.com/ToniaForGower
Charnwood,Edward,Argar,
Leicester South,Jon,Ashworth,https://facebook.com/JonAshworthMP
Wrexham,Sarah,Atherton,
Louth and Horncastle,Victoria,Atkins,https://facebook.com/VoteVictoriaAtkins
Orpington,Gareth,Bacon,
South Norfolk,Richard,Bacon,https://facebook.com/Bacon4SouthNorfolk
Saffron Walden,Kemi,Badenoch,
West Bromwich West,Shaun,Bailey,
Stroud,Siobhan,Baillie,
North Norfolk,Duncan,Baker,
Wycombe,Steven,Baker,https://facebook.com/SteveBakerWycombe
West Worcestershire,Harriett,Baldwin,https://facebook.com/harriettbaldwin
North East Cambridgeshire,Steve,Barclay,https://facebook.com/stevebarclaymp
Livingston,Hannah,Bardell,https://facebook.com/hannah.bardell.5
"Liverpool, Wavertree",Paula,Barker,
Basildon and Billericay,John,Baron,
Clwyd South,Simon,Baynes,
Derby South,Margaret,Beckett,
West Tyrone,Órfhlaith,Begley,
Poplar and Limehouse,Apsana,Begum,
Newcastle-under-Lyme,Aaron,Bell,
Leeds Central,Hilary,Benn,https://facebook.com/hilarybenn4leedscentral
Blackpool South,Scott,Benton,
Mole Valley,Paul,Beresford,https://facebook.com/SirPaulBeresford
Rossendale and Darwen,Jake,Berry,https://facebook.com/jakeberryofficial
Sheffield South East,Clive,Betts,https://facebook.com/clive.betts.sheffieldse
Meriden,Saqib,Bhatti,
Paisley and Renfrewshire South,Mhairi,Black,https://facebook.com/Mhairi.Black.SNP
"Ross, Skye and Lochaber",Ian,Blackford,https://facebook.com/IanBlackford.SNP
Harrow East,Bob,Blackman,https://facebook.com/bobblackmanofficial
Aberdeen North,Kirsty,Blackman,https://facebook.com/aberdeennorth
"Sheffield, Hallam",Olivia,Blake,
Sheffield Central,Paul,Blomfield,https://facebook.com/paulblomfieldmp
Reigate,Crispin,Blunt,https://facebook.com/crispinbluntreigate
Wellingborough,Peter,Bone,https://facebook.com/PeterBoneOfficial
"Coatbridge, Chryston and Bellshill",Steven,Bonnar,
Worthing West,Peter,Bottomley,https://facebook.com/Sir-Peter-Bottomley-MP-293136030810246
West Aberdeenshire and Kincardine,Andrew,Bowie,
Mansfield,Ben,Bradley,https://facebook.com/benbradleymansfield
Staffordshire Moorlands,Karen,Bradley,https://facebook.com/votekarenbradley
Exeter,Ben,Bradshaw,https://facebook.com/BenPBradshaw
Altrincham and Sale West,Graham,Brady,https://facebook.com/voteforAltSaleWest
Newry and Armagh,Mickey,Brady,https://facebook.com/mickey.brady.52
Fareham,Suella,Braverman,https://facebook.com/SuellaBravermanOfficial
Cardiff West,Kevin,Brennan,https://facebook.com/kevinbrennanpage
Stoke-on-Trent South,Jack,Brereton,https://facebook.com/jackbreretonforstoke
North West Leicestershire,Andrew,Bridgen,
Winchester,Steve,Brine,https://facebook.com/Steve-Brine-MP-for-Winchester-Chandlers-Ford-245990448763142
Peterborough,Paul,Bristow,
Hyndburn,Sara,Britcliffe,
Edinburgh North and Leith,Deidre,Brock,https://facebook.com/DeidreBrockSNP
Kilmarnock and Loudoun,Alan,Brown,
West Ham,Lyn,Brown,
Newcastle upon Tyne East,Nick,Brown,
South Cambridgeshire,Anthony,Browne,
Congleton,Fiona,Bruce,https://facebook.com/fiona4congleton
Rhondda,Chris,Bryant,https://facebook.com/Chris4Rhondda
Kensington,Felicity,Buchan,
Westminster North,Karen,Buck,https://facebook.com/KarenBuck4WN
South Swindon,Robert,Buckland,https://facebook.com/robertbucklandofficial
Brentwood and Ongar,Alex,Burghart,
Leeds East,Richard,Burgon,https://facebook.com/RichardBurgonForEastLeeds
Bournemouth West,Conor,Burns,https://facebook.com/conorburnsuk
Brent Central,Dawn,Butler,https://facebook.com/DawnButlerBrent
Aylesbury,Rob,Butler,
"Liverpool, West Derby",Ian,Byrne,
"Birmingham, Hodge Hill",Liam,Byrne,https://facebook.com/LiamByrneHodgeHill
Brentford and Isleworth,Ruth,Cadbury,https://facebook.com/RuthCadburywin2017
Vale of Glamorgan,Alun,Cairns,https://facebook.com/aluncairns
East Dunbartonshire,Amy,Callaghan,
"East Kilbride, Strathaven and Lesmahagow",Lisa,Cameron,https://facebook.com/lisacameronsnp
Tynemouth,Alan,Campbell,https://facebook.com/AlanCampbellMP
East Londonderry,Gregory,Campbell,https://facebook.com/gregory.campbell.549
"Liverpool, Walton",Dan,Carden,
Orkney and Shetland,Alistair,Carmichael,https://facebook.com/AlistairForOrkneyandShetland
Warrington South,Andy,Carter,
South Suffolk,James,Cartlidge,https://facebook.com/james4southsuffolk
Stone,Bill,Cash,
Penistone and Stocksbridge,Miriam,Cates,
Lewes,Maria,Caulfield,https://facebook.com/mariacaulfieldlewes
Cheltenham,Alex,Chalk,https://facebook.com/alexchalkchelt
North East Fife,Wendy,Chamberlain,
Rotherham,Sarah,Champion,https://facebook.com/sarahforrotherham
Dunfermline and West Fife,Douglas,Chapman,https://facebook.com/DougChapmanSNP
"Enfield, Southgate",Bambos,Charalambous,
Edinburgh South West,Joanna,Cherry,https://facebook.com/JoannaCherryMP
Gillingham and Rainham,Rehman,Chishti,https://facebook.com/RehmanChishti
Christchurch,Christopher,Chope,
Bury St Edmunds,Jo,Churchill,https://facebook.com/Jo-Churchill-1518690448393113
Enfield North,Feryal,Clark,
Tunbridge Wells,Greg,Clark,
Middlesbrough South and East Cleveland,Simon,Clarke,https://facebook.com/simon4MSEC
Stafford,Theo,Clarke,
Bassetlaw,Brendan,Clarke-Smith,
Heywood and Middleton,Chris,Clarkson,
Braintree,James,Cleverly,https://facebook.com/james.cleverly
The Cotswolds,Geoffrey,Clifton-Brown,https://facebook.com/geoffreycliftonbrown
Suffolk Coastal,Therese,Coffey,https://facebook.com/ThereseCoffey
Carshalton and Wallington,Elliot,Colburn,
Folkestone and Hythe,Damian,Collins,https://facebook.com/damiancollins4mp
St Albans,Daisy,Cooper,
"Normanton, Pontefract and Castleford",Yvette,Cooper,https://facebook.com/YvetteCooperMP
Islington North,Jeremy,Corbyn,https://facebook.com/JeremyCorbynMP
South Leicestershire,Alberto,Costa,https://facebook.com/AlbertoCostaOfficial
Witney,Robert,Courts,
East Surrey,Claire,Coutinho,
Inverclyde,Ronnie,Cowan,https://facebook.com/RonnieCowanSNP
Torridge and West Devon,Geoffrey,Cox,
Bermondsey and Old Southwark,Neil,Coyle,https://facebook.com/NeilCoyleMP
Preseli Pembrokeshire,Stephen,Crabb,https://facebook.com/StephenCrabbPembs
Lanark and Hamilton East,Angela,Crawley,https://facebook.com/Angela-Crawley-for-Westminster-Lanark-Hamilton-East-404900139669473
Walthamstow,Stella,Creasy,https://facebook.com/stellacreasy
Ynys Môn,Virginia,Crosbie,
Chatham and Aylesford,Tracey,Crouch,https://facebook.com/TraceyCrouchMp
Dagenham and Rainham,Jon,Cruddas,https://facebook.com/JonCruddas
Leyton and Wanstead,John,Cryer,
Bradford South,Judith,Cummins,https://facebook.com/JudithCumminsMP
Stockton North,Alex,Cunningham,https://facebook.com/acunninghammp
Lewisham East,Janet,Daby,https://facebook.com/jdaby1
West Lancashire,Ashley,Dalton,
Bury North,James,Daly,
Kingston and Surbiton,Edward,Davey,
Caerphilly,Wayne,David,https://facebook.com/waynedavidforcaerphilly
Monmouth,David,Davies,https://facebook.com/davidtcdavies
Grantham and Stamford,Gareth,Davies,
Swansea West,Geraint,Davies,https://facebook.com/GeraintDaviesMP
Vale of Clwyd,James,Davies,https://facebook.com/jamesdavies4mp
Mid Sussex,Mims,Davies,https://facebook.com/Mims4Eastleigh
Shipley,Philip,Davies,
Pontypridd,Alex,Davies-Jones,
Haltemprice and Howden,David,Davis,
Bishop Auckland,Dehenna,Davison,
